snapped_at,price,market_cap,total_volume
2022-05-21 00:00:00 UTC,6.999713875805704,356076510.67639565,3432814.2965386193
2022-05-22 00:00:00 UTC,7.093649382587187,361389231.62461215,1009932.2685162685
2022-05-23 00:00:00 UTC,7.248530860533535,369878394.9291278,1128847.5429451782
2022-05-24 00:00:00 UTC,7.245576324513962,370169187.75801575,1188672.4565283123
2022-05-25 00:00:00 UTC,7.044267342067553,360308729.1275402,1412591.0345671575
2022-05-26 00:00:00 UTC,6.725981768087791,344854558.93799603,825093.9974993
2022-05-27 00:00:00 UTC,6.091112414287582,313569149.9494117,1042039.0176157072
2022-05-28 00:00:00 UTC,5.535826162216998,284350329.2798933,1050796.285111431
2022-05-29 00:00:00 UTC,5.609905670196074,288856533.67358464,867116.6539993479
2022-05-30 00:00:00 UTC,5.585320329271495,287994376.1793685,1411053.583051201
2022-05-31 00:00:00 UTC,5.9002298518213285,305006918.48224753,2232203.4891548073
2022-06-01 00:00:00 UTC,5.751971940543862,297309616.2635205,1185726.8964038584
2022-06-02 00:00:00 UTC,4.964961490266589,255953070.2320842,2764363.1805591937
2022-06-03 00:00:00 UTC,5.108231243498549,264949969.2695958,779224.0330633483
2022-06-04 00:00:00 UTC,4.8894134158864375,253754315.82287177,1701906.4651276416
2022-06-05 00:00:00 UTC,4.778660579895133,247690368.51028162,809777.7527995112
2022-06-06 00:00:00 UTC,4.289331634030983,223632934.5242219,2254306.2480474305
2022-06-07 00:00:00 UTC,3.782955112336926,197236382.78221864,3984774.2236761856
2022-06-08 00:00:00 UTC,3.78670124066336,198039982.31815162,1537592.2476659624
2022-06-09 00:00:00 UTC,3.6047433594569713,188722206.84422106,269332.79843442136
2022-06-10 00:00:00 UTC,3.481283962946315,182347198.48854682,60243.65309536881
2022-06-11 00:00:00 UTC,3.2643265959066423,171113879.74509367,133633.37475784266
2022-06-12 00:00:00 UTC,2.9850333397242466,156933700.57521045,175071.3948160136
2022-06-13 00:00:00 UTC,2.8790730006249228,151326880.5126388,983846.6255276937
2022-06-14 00:00:00 UTC,2.522114245107146,130558175.36749515,1127815.1362589195
2022-06-15 00:00:00 UTC,2.5000783250623524,131669072.04786569,662800.1065601922
2022-06-16 00:00:00 UTC,2.706164997214486,142778831.54361665,665594.8783268218
2022-06-17 00:00:00 UTC,2.4075144076047046,127660910.78170288,380349.14579206886
2022-06-18 00:00:00 UTC,2.364458560880013,126060984.64936674,663307.4798432465
2022-06-19 00:00:00 UTC,2.2482873445348948,119027866.77696581,356732.8784028187
2022-06-20 00:00:00 UTC,2.490826691239718,132174254.01211703,327247.04356998205
2022-06-21 00:00:00 UTC,2.3786200141043996,126614371.77906182,578271.6390204057
2022-06-22 00:00:00 UTC,2.352302477791584,125296332.11752036,704506.4379242182
2022-06-23 00:00:00 UTC,2.3812832510140827,127646426.45275602,334308.47034102934
2022-06-24 00:00:00 UTC,2.843577367236846,151307176.68628848,746694.7459700374
2022-06-25 00:00:00 UTC,2.955537831851846,158663832.7533591,577167.0206517532
2022-06-26 00:00:00 UTC,3.0232014591187792,160854917.13352627,507927.06092760514
2022-06-27 00:00:00 UTC,2.8525014731919818,152879682.4667787,531716.1355609786
2022-06-28 00:00:00 UTC,2.729016135159256,146283880.3632476,459250.6020786137
2022-06-29 00:00:00 UTC,2.5425997714577138,136280807.92123017,471513.44905760064
2022-06-30 00:00:00 UTC,2.5273623378632046,136110746.25627363,699235.5537030849
2022-07-01 00:00:00 UTC,2.479519551494143,132275779.29590313,619122.1488203905
2022-07-02 00:00:00 UTC,2.604545238772909,140838593.54128474,719764.1751864575
2022-07-03 00:00:00 UTC,2.5147573859362558,136255488.32872444,528969.9565220912
2022-07-04 00:00:00 UTC,2.50833743147189,135880536.5463588,453368.8407209096
2022-07-05 00:00:00 UTC,2.6341482712372444,143053620.57686302,383267.91184316576
2022-07-06 00:00:00 UTC,2.708474021570926,147171211.2182975,785261.5851790918
2022-07-07 00:00:00 UTC,2.7020268784914543,146796488.5076774,508364.56675605994
2022-07-08 00:00:00 UTC,2.9050395168758665,158089580.0760899,760127.652063402
2022-07-09 00:00:00 UTC,2.8125724657467313,153380760.5656078,688360.9769062559
2022-07-10 00:00:00 UTC,2.8180810271941366,153311406.86729258,304539.88431623555
